Id|Codigo|Habilitado
508|1980636-1|1
509|1980700-1|1
510|1980745-2|1
511|1980775-2|1
512|1980783-1|1
513|1983938-1|1
514|1984002-1|1
515|1984104-5|1
516|1984148-1|1
517|19547-7|1
518|19578-1|1
519|19583-10|1
520|19684-2|1
521|1980799-3|1
522|1980827-1|1
523|1980838-4|1
524|1980838-6|1
525|10123-3|1
526|10327-3|1
527|104948-1|1
528|106653-1|1
529|10815-3|1
530|1981394-1|1
531|1981394-3|1
532|1982210-2|1
533|1982847-2|1
534|19721-3|1
535|19767-1|1
536|19776-1|1
537|1980002-1|1
538|1980857-2|1
539|1981015-1|1
540|1981015-4|1
541|1981097-1|1
542|10816-1|1
543|10816-2|1
544|108812-2|1
545|11417-8|1
546|1982847-4|1
547|1983068-1|1
548|1983088-6|1
549|1983090-6|1
550|1984232-3|1
551|1984420-3|1
552|1984716-1|1
553|1984797-4|1
554|1984916-4|1
555|1980018-2|1
556|1980020-2|1
557|1980072-2|1
558|1980099-2|1
559|1980165-1|1
560|1981855-1|1
561|1981959-13|1
562|1981959-15|1
563|1981959-21|1
564|11425-2|1
565|11698-1|1
566|11701-2|1
567|12774-3|1
568|1983091-2|1
569|1983837-2|1
570|1983837-3|1
571|1983899-1|1
572|1983915-1|1
573|1981959-22|1
574|1982255-10|1
575|1983088-7|1
576|1983150-2|1
577|1984916-9|1
578|1984935-1|1
579|19854-1|1
580|19900029-2|1
581|19900047-2|1
582|19900127-2|1
583|19900127-5|1
584|19900149-2|1
585|19900150-1|1
586|10124-1|1
587|10160-1|1
588|10264-4|1
589|104739-3|1
590|10815-9|1
591|1983756-2|1
592|1983766-1|1
593|1983779-1|1
594|1983873-2|1
595|10123-2|1
596|103797-1|1
597|104739-2|1
598|110574-1|1
599|113757-2|1
600|12888-4|1
601|13358-1|1
602|14958-13|1
603|14958-17|1
604|102446-9|1
605|102649-1|1
606|111058-1|1
607|11416-5|1
608|11696-2|1
609|100464-1|1
610|10124-4|1
611|104955-1|1
612|10815-7|1
613|11417-9|1
614|1980184-5|1
615|1980184-8|1
616|1980381-1|1
617|1980397-2|1
618|1980471-3|1
619|100454-1|1
620|102446-11|1
621|10815-5|1
622|110690-5|1
623|111057-3|1
624|1983915-5|1
625|1984133-5|1
626|1984166-1|1
627|1984178-1|1
628|103796-3|1
629|103797-4|1
630|110690-1|1
631|111058-2|1
632|11416-3|1
633|10121-3|1
634|10264-3|1
635|103796-1|1
636|11218-3|1
637|11340-1|1
638|14958-8|1
639|14960-1|1
640|15875-3|1
641|15995-1|1
642|11849-5|1
643|11878-2|1
644|11980-1|1
645|12772-3|1
646|13358-2|1
647|100458-1|1
648|10124-2|1
649|104206-1|1
650|106407-2|1
651|111057-2|1
652|11417-11|1
653|11699-2|1
654|12530-1|1
655|12698-4|1
656|13161-2|1
657|10045-2|1
658|10121-1|1
659|10327-1|1
