Id|Codigo|AplicaASexo|EdadMinima|EdadMaxima|Sexo
2998|E708|3|0|999|A
2999|E709|3|0|999|A
3000|L905|3|0|999|A
3001|L906|3|0|999|A
3002|L908|3|0|999|A
3003|L909|3|0|999|A
3004|L910|3|0|999|A
3005|V596|3|0|999|A
3006|V598|3|0|999|A
3007|V599|3|0|999|A
3008|V600|3|18|64|A
3009|E710|3|0|999|A
3010|E711|3|0|999|A
3011|E712|3|0|999|A
3012|E713|3|0|999|A
3013|V601|3|0|999|A
3014|V602|3|0|999|A
3015|V603|3|0|999|A
3016|L918|3|0|999|A
3017|L919|3|0|999|A
3018|L920|3|0|999|A
3019|L921|3|0|999|A
3020|L922|3|0|999|A
3021|E720|3|0|999|A
3022|E721|3|0|999|A
3023|E722|3|0|999|A
3024|E723|3|0|999|A
3025|E724|3|0|999|A
3026|V604|3|0|999|A
3027|V605|3|18|64|A
3028|V606|3|0|999|A
3029|V607|3|0|999|A
3030|L923|3|0|999|A
3031|L928|3|0|999|A
3032|L929|3|0|999|A
3033|L930|3|0|999|A
3034|L931|3|0|999|A
3035|V609|3|0|999|A
3036|V610|3|18|64|A
3037|V611|3|0|999|A
3038|E725|3|0|999|A
3039|E728|3|0|999|A
3040|E729|3|0|999|A
3041|E730|3|0|999|A
3042|E731|3|0|999|A
3043|L932|3|0|999|A
3044|L940|3|0|999|A
3045|L941|3|0|999|A
3046|L942|3|0|999|A
3047|L943|3|0|999|A
3048|V612|3|0|999|A
3049|V613|3|0|999|A
3050|V614|3|0|999|A
3051|E738|3|0|999|A
3052|E739|3|0|999|A
3053|E740|3|0|999|A
3054|E741|3|0|999|A
3055|E742|3|0|999|A
3056|V615|3|18|64|A
3057|V616|3|0|999|A
3058|V617|3|0|999|A
3059|L944|3|0|999|A
3060|L945|3|0|999|A
3061|L946|3|0|999|A
3062|L948|3|0|999|A
3063|L949|3|0|999|A
3064|E743|3|0|999|A
3065|E744|3|0|999|A
3066|E748|3|0|999|A
3067|E749|3|0|999|A
3068|V619|3|0|999|A
3069|V620|3|18|64|A
3070|V621|3|0|999|A
3071|L950|3|0|999|A
3072|L951|3|0|999|A
3073|L958|3|0|999|A
3074|L959|3|0|999|A
3075|L97X|3|0|999|A
3076|E750|3|0|999|A
3077|E751|3|0|999|A
3078|E752|3|0|999|A
3079|E753|3|0|999|A
3080|V622|3|0|999|A
3081|V623|3|0|999|A
3082|V624|3|0|999|A
3083|V625|3|18|64|A
3084|V626|3|0|999|A
3085|V627|3|0|999|A
3086|L980|3|0|999|A
3087|L981|3|0|999|A
3088|L982|3|0|999|A
3089|L983|3|0|999|A
3090|L984|3|0|999|A
3091|E754|3|0|999|A
3092|E755|3|0|999|A
3093|E756|3|0|999|A
3094|E760|3|0|999|A
3095|V629|3|0|999|A
3096|V630|3|18|64|A
3097|V631|3|0|999|A
3098|L985|3|0|999|A
3099|L986|3|0|999|A
3100|L987|3|0|100|A
3101|L988|3|0|999|A
3102|E761|3|0|999|A
3103|E762|3|0|999|A
3104|E763|3|0|999|A
3105|E768|3|0|999|A
3106|E769|3|0|999|A
3107|V632|3|0|999|A
3108|V633|3|0|999|A
3109|V634|3|0|999|A
3110|V635|3|18|64|A
3111|V636|3|0|999|A
3112|V637|3|0|999|A
3113|E770|3|0|999|A
3114|E771|3|0|999|A
3115|E778|3|0|999|A
3116|E779|3|0|999|A
3117|E780|3|0|999|A
3118|L989|3|0|999|A
3119|L990|3|0|999|A
3120|L998|3|0|999|A
3121|M000|3|0|999|A
3122|V639|3|0|999|A
3123|V640|3|18|64|A
3124|V641|3|0|999|A
3125|E781|3|0|999|A
3126|E782|3|0|999|A
3127|E783|3|0|999|A
3128|E784|3|0|999|A
3129|E785|3|0|999|A
3130|M001|3|0|999|A
3131|M002|3|0|999|A
3132|M008|3|0|999|A
3133|M009|3|0|999|A
3134|M010|3|0|999|A
3135|V642|3|0|999|A
3136|V643|3|0|999|A
3137|V644|3|0|999|A
3138|E786|3|0|999|A
3139|E788|3|0|999|A
3140|E789|3|0|999|A
3141|E790|3|0|999|A
3142|M011|3|0|999|A
3143|M012|3|0|999|A
3144|M013|3|0|999|A
3145|M014|3|0|999|A
3146|V645|3|18|64|A
3147|V646|3|0|999|A
3148|V647|3|0|999|A
3149|E791|3|0|999|A
3150|E798|3|0|999|A
3151|E799|3|0|999|A
3152|E800|3|0|999|A
3153|V649|3|0|999|A
3154|V650|3|18|64|A
3155|V651|3|0|999|A
3156|M015|3|0|999|A
3157|M016|3|0|999|A
3158|M018|3|0|999|A
3159|M020|3|0|999|A
3160|V652|3|0|999|A
3161|V653|3|0|999|A
3162|V654|3|0|999|A
3163|E801|3|0|999|A
3164|E802|3|0|999|A
3165|E803|3|0|999|A
3166|E804|3|0|999|A
3167|E805|3|0|999|A
3168|V655|3|18|64|A
3169|V656|3|0|999|A
3170|V657|3|0|999|A
3171|M021|3|0|999|A
3172|M022|3|0|999|A
3173|M023|3|0|999|A
3174|M028|3|0|999|A
3175|M029|3|0|999|A
3176|E806|3|0|999|A
3177|E807|3|0|999|A
3178|E830|3|0|999|A
3179|E831|3|0|999|A
3180|E832|3|0|999|A
3181|V659|3|0|999|A
3182|V660|3|18|64|A
3183|V661|3|0|999|A
3184|V662|3|0|999|A
3185|V663|3|0|999|A
3186|V664|3|0|999|A
3187|M030|3|0|999|A
3188|M031|3|0|999|A
3189|M032|3|0|999|A
3190|M036|3|0|999|A
3191|E833|3|0|999|A
3192|E834|3|0|120|A
3193|E835|3|0|120|A
3194|E838|3|0|999|A
3195|E839|3|0|999|A
3196|V665|3|18|64|A
3197|V666|3|0|999|A
3198|V667|3|0|999|A
3199|V669|3|0|999|A
3200|V670|3|18|64|A
3201|V671|3|0|999|A
3202|E840|3|0|999|A
3203|E841|3|0|999|A
3204|E848|3|0|999|A
3205|E849|3|0|999|A
3206|E850|3|0|999|A
3207|M050|3|0|999|A
3208|M051|3|0|999|A
3209|M052|3|0|999|A
3210|M053|3|0|999|A
3211|M058|3|0|999|A
3212|V672|3|0|999|A
3213|V673|3|0|999|A
3214|V674|3|0|999|A
3215|E851|3|0|999|A
3216|E852|3|0|999|A
3217|E853|3|0|999|A
3218|E854|3|0|999|A
3219|E858|3|0|999|A
3220|V675|3|18|64|A
3221|V676|3|0|999|A
3222|V677|3|0|999|A
3223|M059|3|0|999|A
3224|M060|3|0|999|A
3225|M061|3|0|999|A
3226|M062|3|0|999|A
3227|M063|3|0|999|A
3228|V679|3|0|999|A
3229|V680|3|18|64|A
3230|V681|3|0|999|A
3231|E859|3|0|999|A
3232|E86X|3|0|120|A
3233|E870|3|0|999|A
3234|E871|3|0|999|A
3235|E872|3|0|999|A
3236|V682|3|0|999|A
3237|V683|3|0|999|A
3238|V684|3|0|999|A
3239|M064|3|0|999|A
3240|M068|3|0|999|A
3241|M069|3|0|999|A
3242|M070|3|0|999|A
3243|M071|3|0|999|A
3244|E873|3|0|999|A
3245|E874|3|0|999|A
3246|E875|3|0|999|A
3247|E876|3|0|999|A
3248|E877|3|0|999|A
3249|V685|3|18|64|A
3250|V686|3|0|999|A
3251|V687|3|0|999|A
3252|M072|3|0|999|A
3253|M073|3|0|999|A
3254|M074|3|0|999|A
3255|M075|3|0|999|A
3256|M076|3|0|999|A
3257|V689|3|0|999|A
3258|V690|3|18|64|A
3259|V691|3|0|999|A
3260|E878|3|0|999|A
3261|E880|3|0|999|A
3262|E881|3|0|999|A
3263|E882|3|0|999|A
3264|V692|3|0|999|A
3265|V693|3|0|999|A
3266|V694|3|18|64|A
3267|E883|3|0|999|A
3268|E888|3|0|999|A
3269|E889|3|0|999|A
3270|E890|3|0|999|A
3271|E891|3|0|999|A
3272|M080|3|1|17|A
3273|M081|3|1|17|A
3274|M082|3|1|17|A
3275|M083|3|1|17|A
3276|M084|3|1|17|A
3277|V695|3|0|999|A
3278|V696|3|0|999|A
3279|V698|3|0|999|A
3280|E892|3|0|999|A
3281|E893|3|0|999|A
3282|E894|2|0|999|F
3283|E895|1|0|999|M
3284|M088|3|1|17|A
3285|M089|3|1|17|A
3286|M090|3|10|17|A
3287|M091|3|10|17|A
3288|M092|3|10|17|A
3289|V699|3|0|999|A
3290|V700|3|18|64|A
3291|V701|3|0|999|A
3292|V702|3|0|999|A
3293|E896|3|0|999|A
3294|E898|3|0|999|A
3295|E899|3|0|999|A
3296|E90X|3|0|999|A
3297|V703|3|0|999|A
3298|V704|3|0|999|A
3299|V705|3|18|64|A
3300|V706|3|0|999|A
3301|M098|3|10|17|A
3302|M100|3|0|999|A
3303|M101|3|12|85|A
3304|M102|3|0|999|A
3305|M103|3|0|999|A
3306|V707|3|0|999|A
3307|V709|3|0|999|A
3308|V710|3|18|64|A
3309|V711|3|0|999|A
3310|M104|3|0|999|A
3311|M109|3|0|999|A
3312|M110|3|0|999|A
3313|M111|3|0|999|A
3314|M112|3|0|999|A
3315|V712|3|0|999|A
3316|V713|3|0|999|A
3317|V714|3|0|999|A
3318|V715|3|18|64|A
3319|M118|3|0|999|A
3320|M119|3|0|999|A
3321|M120|3|0|999|A
3322|M121|3|0|999|A
3323|M122|3|0|999|A
3324|V716|3|0|999|A
3325|V717|3|0|999|A
3326|V719|3|0|999|A
3327|V720|3|18|64|A
3328|V721|3|0|999|A
3329|V722|3|0|999|A
3330|V723|3|0|999|A
3331|M123|3|0|999|A
3332|M124|3|0|999|A
3333|M125|3|0|999|A
3334|M128|3|0|999|A
3335|M130|3|0|999|A
3336|V724|3|0|999|A
3337|V725|3|18|64|A
3338|V726|3|0|999|A
3339|V727|3|0|999|A
3340|F000|3|0|999|A
3341|F001|3|0|999|A
