Id|Finalidad|CUPS
163|23|906128
164|23|906129
165|23|906130
166|23|906039
167|23|906241
168|23|906242
169|23|901236
170|23|906249
171|23|881401
172|23|881431
173|23|903887
174|23|901321
175|23|906131
176|24|890205
177|24|890250
178|24|890208
179|24|890209
180|24|890301
181|24|890305
182|24|890350
183|24|890308
184|24|890309
185|24|911016
186|24|911018
187|24|911020
188|24|906039
189|24|906249
190|24|695101
191|24|750201
192|25|890205
193|25|890208
194|25|890209
195|25|890301
196|25|890305
197|25|911016
198|25|911018
199|25|911020
200|25|902208
201|25|902209
202|25|902211
203|25|902213
204|25|906039
205|25|906249
206|25|721001
207|25|721002
208|25|725100
209|25|732201
210|25|735300
211|25|735910
212|25|735930
213|25|735931
214|25|735980
215|25|740100
216|25|740200
217|25|740300
218|26|954601
219|26|954632
220|26|893812
221|26|904903
222|26|911016
223|26|911018
224|26|911020
225|26|903202
226|26|903301
227|26|904402
228|26|906808
229|26|906809
230|27|890301
231|27|890283
232|27|890383
233|28|990101
234|28|990102
235|28|990103
236|28|990105
237|28|990106
238|28|990107
239|29|990201
240|29|990202
241|29|990203
242|29|990205
243|29|990206
244|29|990211
245|29|990104
246|29|990101
247|29|990102
248|29|990103
249|29|990105
250|29|990106
251|29|990107
252|29|990201
253|29|990204
254|29|990206
255|29|990211
256|30|990201
257|30|990202
258|30|990203
259|30|990205
260|30|990206
261|30|990211
262|30|990104
263|30|990101
264|30|990102
265|30|990103
266|30|990105
267|30|990106
268|30|990107
269|30|990201
270|30|990204
271|30|990206
272|30|990211
273|31|990201
274|31|990202
275|31|990203
276|31|990205
277|31|990206
278|31|990211
279|31|990104
280|31|990101
281|31|990102
282|31|990103
283|31|990105
284|31|990106
285|31|990107
286|31|990201
287|31|990204
288|31|990206
289|31|990211
290|32|990201
291|32|990202
292|32|990203
293|32|990205
294|32|990206
295|32|990211
296|32|990104
297|32|990101
298|32|990102
299|32|990103
300|32|990105
301|32|990106
302|32|990107
303|32|990201
304|32|990204
305|32|990206
306|32|990211
307|33|990201
308|33|990202
309|33|990203
310|33|990205
311|33|990206
312|33|990211
313|33|990104
314|33|990101
315|33|990102
316|33|990103
317|33|990105
318|33|990106
319|33|990107
320|33|990201
321|33|990204
322|33|990206
323|33|990211
324|34|990201
325|34|990202
326|34|990203
327|34|990205
328|34|990206
329|34|990211
330|34|990104
331|34|990101
332|34|990102
333|34|990103
334|34|990105
335|34|990106
336|34|990107
337|34|990201
338|34|990204
339|34|990206
340|34|990211
341|35|990201
342|35|990202
343|35|990203
344|35|990205
345|35|990206
346|35|990211
347|35|990104
348|35|990101
349|35|990102
350|35|990103
351|35|990105
352|35|990106
353|35|990107
354|35|990201
355|35|990204
356|35|990206
357|35|990211
358|36|990201
359|36|990202
360|36|990203
361|36|990205
362|36|990206
363|36|990211
364|36|990104
365|36|990101
366|36|990102
367|36|990103
368|36|990105
369|36|990106
370|36|990107
371|36|990201
372|36|990204
373|36|990206
374|36|990211
375|37|990201
376|37|990202
377|37|990203
378|37|990205
379|37|990206
380|37|990211
381|37|990104
382|37|990101
383|37|990102
384|37|990103
385|37|990105
386|37|990106
387|37|990107
388|37|990201
389|37|990204
390|37|990206
391|37|990211
392|38|990201
393|38|990202
394|38|990203
395|38|990205
396|38|990206
397|38|990211
398|38|990104
399|38|990101
400|38|990102
401|38|990103
402|38|990105
403|38|990106
404|38|990107
405|38|990201
406|38|990204
407|38|990206
408|38|990211
409|39|990201
410|39|990202
411|39|990203
412|39|990205
413|39|990206
414|39|990211
415|39|990104
416|39|990101
417|39|990102
418|39|990103
419|39|990105
420|39|990106
421|39|990107
422|39|990201
423|39|990204
424|39|990206
425|39|990211
426|40|990201
427|40|990202
428|40|990203
429|40|990205
430|40|990206
431|40|990211
432|40|990104
433|40|990101
434|40|990102
435|40|990103
436|40|990105
437|40|990106
438|40|990107
439|40|990201
440|40|990204
441|40|990206
442|40|990211
443|41|990201
444|41|990202
445|41|990203
446|41|990205
447|41|990206
448|41|990211
449|41|990104
450|41|990101
451|41|990102
452|41|990103
453|41|990105
454|41|990106
455|41|990107
456|41|990201
457|41|990204
458|41|990206
459|41|990211
460|42|I10003
461|42|I10004
462|42|I10005
463|42|I10006
464|42|I10007
465|42|I10008
466|42|I10309
467|42|I10010
468|42|I10011
469|42|I10101
470|42|I10102
471|42|I10103
472|42|I10104
473|42|I10105
474|42|I10106
475|42|I10107
476|42|I10108
477|42|I10109
478|42|I10110
479|42|I10201
480|42|I10202
481|42|I10203
482|42|I10204
483|42|I10205
484|42|I10206
485|42|I10207
486|42|I10208
487|42|I10209
488|42|I10210
489|42|I10301
490|42|I10302
491|42|I10303
492|42|I10304
493|42|I10305
494|42|I10306
495|42|I10307
496|42|I10308
497|42|I10309
498|42|I10310
499|42|I10311
500|42|I10401
501|42|I10402
502|42|I10403
503|42|I10404
504|42|I10405
505|42|I10406
506|42|I10407
507|42|I10408
508|42|I10409
509|42|I10410
510|42|I10411
511|42|I10412
512|42|I10413
513|42|I10501
514|42|I10601
515|42|I10602
516|42|I10603
517|42|I10604
518|42|I10605
519|42|I10606
520|42|I10607
521|42|I11001
522|42|I11003
523|42|I11004
524|42|I11005
525|42|I11006
526|42|I11007
527|42|I11008
528|42|I11009
529|42|I11010
