26160|021200|1|AP|S|Z|NULL
26161|021201|1|AP|S|Z|PBS
26162|021202|1|AP|S|Z|PBS
26163|021203|1|AP|S|Z|PBS
26164|021204|1|AP|S|Z|PBS
26165|021205|1|AP|S|Z|PBS
26166|021206|1|AP|S|Z|PBS
26167|021207|1|AP|S|Z|PBS
26168|021208|1|AP|S|Z|PBS
26169|021209|1|AP|S|Z|PBS
26170|021210|1|AP|S|Z|PBS
26171|021211|1|AP|S|Z|PBS
26172|021212|1|AP|S|Z|PBS
26173|021213|1|AP|S|Z|PBS
26174|021214|1|AP|S|Z|PBS
26175|021215|1|AP|S|Z|PBS
26176|021216|1|AP|S|Z|PBS
26177|021301|1|AP|S|Z|PBS
26178|021302|1|AP|S|Z|PBS
26179|021303|1|AP|S|Z|PBS
26180|021304|1|AP|S|Z|PBS
26181|021305|1|AP|S|Z|PBS
26182|021306|1|AP|S|Z|PBS
26183|021307|1|AP|S|Z|PBS
26184|021308|1|AP|S|Z|PBS
26185|022100|1|AP|S|Z|NULL
26186|022101|1|AP|S|Z|PBS
26187|022102|1|AP|S|Z|PBS
26188|022103|1|AP|S|Z|PBS
26189|022104|1|AP|S|Z|NULL
26190|022105|1|AP|S|Z|PBS
26191|022106|1|AP|S|Z|PBS
26192|022200|1|AP|S|Z|NULL
26193|022201|1|AP|S|Z|PBS
26194|022202|1|AP|S|Z|PBS
26195|022203|1|AP|S|Z|PBS
26196|022300|1|AP|S|Z|NULL
26197|022401|1|AP|S|Z|PBS
26198|022402|1|AP|S|Z|PBS
26199|022403|1|AP|S|Z|PBS
26200|022404|1|AP|S|Z|PBS
26201|023200|1|AP|S|Z|NULL
26202|023201|1|AP|S|Z|PBS
26203|023202|1|AP|S|Z|NULL
26204|023400|1|AP|S|Z|NULL
26205|023401|1|AP|S|Z|NULL
26206|023402|1|AP|S|Z|PBS
26207|023403|1|AP|S|Z|PBS
26208|023404|1|AP|S|Z|PBS
26209|023500|1|AP|S|Z|NULL
26210|024100|1|AP|S|Z|PBS
26211|024200|1|AP|S|Z|NULL
26212|024201|1|AP|S|Z|PBS
26213|024202|1|AP|S|Z|PBS
26214|024203|1|AP|S|Z|PBS
26215|024300|1|AP|S|Z|PBS
26216|025000|1|AP|S|Z|PBS
26217|028100|1|AP|S|Z|PBS
26218|028200|1|AP|S|Z|NULL
26219|028201|1|AP|S|Z|PBS
26220|028202|1|AP|S|Z|PBS
26221|028203|1|AP|S|Z|PBS
26222|028204|1|AP|S|Z|NULL
26223|028300|1|AP|S|Z|NULL
26224|028301|1|AP|S|Z|NULL
26225|028302|1|AP|S|Z|PBS
26226|028303|1|AP|S|Z|PBS
26227|028304|1|AP|S|Z|PBS
26228|028305|1|AP|S|Z|PBS
26229|028306|1|AP|S|Z|NULL
26230|028307|1|AP|S|Z|PBS
26231|028308|1|AP|S|Z|PBS
