Id|CUPS|CIE10
849|537306|K449
850|537306|Q790
851|537306|Q791
852|547001|Q793
853|547101|Q793
854|547102|Q793
855|547103|Q793
856|547201|Q792
857|547202|Q792
858|547203|Q792
859|550101|Q610
860|550120|Q610
861|575103|Q644
862|575104|Q644
863|575105|Q644
864|575106|Q644
865|575107|Q644
866|575108|Q644
867|584301|N360
868|584301|Q517
869|584301|N821
870|584302|N360
871|584302|Q517
872|584302|N821
873|584303|N360
874|584303|Q517
875|584303|N821
876|584304|N360
877|584304|Q517
878|584304|N821
879|584501|Q540
880|584501|Q541
881|584501|Q542
882|584501|Q543
883|584501|Q548
884|584501|Q549
885|584501|Q640
886|600201|N420
887|600202|N420
888|600203|N420
889|612100|N431
890|612100|N432
891|612100|N433
892|612100|P835
893|632100|N434
894|640000|N47X
895|694301|Q513
896|694302|Q513
897|709201|N815
898|709202|N815
899|709203|N815
900|712001|N750
901|712001|N751
902|712001|N758
903|712001|N759
904|712002|N750
905|712002|N751
906|712002|N758
907|712002|N759
908|712003|N750
909|712003|N751
910|712003|N758
911|712003|N759
912|775104|M201
913|775104|M202
914|775104|M203
915|775105|M201
916|775105|M202
917|775105|M203
918|775106|M201
919|775106|M202
920|775106|M203
921|775107|M201
922|775107|M202
923|775107|M203
924|785100|S222
925|785100|S223
926|785100|S225
927|785100|S225
928|785100|S228
929|785100|S229
930|785100|S420
931|785100|S421
932|785100|S427
933|785100|S428
934|785100|S429
935|785200|S422
936|785200|S423
937|785200|S424
938|785200|S427
939|785200|S428
940|785200|S429
941|785300|S520
942|785300|S521
943|785300|S522
944|785300|S523
945|785300|S524
946|785300|S524
947|785300|S526
948|785300|S527
949|785300|S528
950|785300|S529
951|785400|S620
952|785400|S621
953|785400|S628
954|785400|S622
955|785400|S623
956|785400|S624
957|785500|S720
958|785500|S723
959|785500|S724
960|785500|S727
961|785500|S728
962|785500|S729
963|785500|S827
964|785500|S828
965|785600|S820
966|785800|S921
967|785800|S922
968|785800|S923
969|785800|S920
970|785800|S927
971|785800|S928
972|785900|S627
973|785900|S628
974|785900|S625
975|785900|S626
976|785900|S924
977|785900|S925
978|785900|S927
979|785900|S929
980|790100|S222
981|790100|S223
982|790100|S225
983|790100|S225
984|790100|S228
985|790100|S229
986|790100|S420
987|790100|S421
988|790100|S427
989|790100|S428
990|790100|S429
991|790200|S422
992|790200|S423
993|790200|S424
994|790200|S427
995|790200|S428
996|790200|S429
997|790301|S520
998|790301|S521
999|790301|S522
1000|790301|S523
1001|790301|S524
1002|790301|S524
1003|790301|S526
1004|790301|S527
1005|790301|S528
1006|790301|S529
1007|790302|S520
1008|790302|S521
1009|790302|S522
1010|790302|S523
1011|790302|S524
1012|790302|S524
1013|790302|S526
1014|790302|S527
1015|790302|S528
1016|790302|S529
1017|790401|S620
1018|790401|S621
1019|790401|S628
1020|790402|S622
1021|790402|S623
1022|790402|S624
1023|790402|S628
1024|790500|S720
1025|790500|S723
1026|790500|S724
1027|790500|S727
1028|790500|S728
1029|790500|S729
1030|790500|S827
1031|790500|S828
1032|790600|S820
1033|790703|S821
1034|790703|S822
1035|790703|S823
1036|790703|S827
1037|790703|S828
1038|790703|S825
1039|790704|S824
1040|790704|S826
1041|790704|S827
1042|790704|S828
1043|790801|S921
1044|790801|S922
1045|790801|S923
1046|790801|S920
1047|790801|S927
1048|790801|S928
1049|790901|S627
1050|790901|S628
1051|790901|S625
1052|790901|S626
1053|790902|S924
1054|790902|S925
1055|790902|S927
1056|790902|S929
1057|790931|S120
1058|790931|S121
1059|790931|S122
1060|790931|S127
1061|790931|S128
1062|790931|S129
1063|790931|M484
1064|790931|M485
1065|790932|S220
1066|790932|S221
1067|790932|S320
1068|790932|S327
1069|790932|S328
1070|790932|M484
1071|790932|M485
1072|790933|S321
1073|790933|S322
1074|790933|S323
1075|790933|S324
1076|790933|S327
1077|790933|S38
1078|790933|M484
1079|790933|M485
1080|791101|S222
1081|791101|S223
1082|791101|S225
1083|791101|S225
1084|791101|S228
1085|791101|S229
1086|791101|S420
1087|791101|S421
1088|791101|S427
1089|791101|S428
1090|791101|S429
1091|791102|S222
1092|791102|S223
1093|791102|S225
1094|791102|S225
1095|791102|S228
1096|791102|S229
1097|791102|S420
1098|791102|S421
1099|791102|S427
1100|791102|S428
1101|791102|S429
1102|791201|S422
1103|791201|S423
1104|791201|S424
1105|791201|S427
1106|791201|S428
1107|791201|S429
1108|791301|S520
1109|791301|S521
1110|791301|S522
1111|791301|S523
1112|791301|S524
1113|791301|S524
1114|791301|S526
1115|791301|S527
1116|791301|S528
1117|791301|S529
1118|791302|S520
1119|791302|S521
1120|791302|S522
1121|791302|S523
1122|791302|S524
1123|791302|S524
1124|791302|S526
1125|791302|S527
1126|791302|S528
1127|791302|S529
1128|791402|S622
1129|791402|S623
1130|791402|S624
1131|791402|S628
1132|791404|S620
1133|791404|S621
1134|791404|S628
1135|791405|S620
1136|791405|S621
1137|791405|S628
1138|791501|S720
1139|791501|S723
1140|791501|S724
1141|791501|S727
1142|791501|S728
1143|791501|S729
1144|791501|S827
1145|791501|S828
1146|791502|S720
1147|791502|S723
1148|791502|S724
1149|791502|S727
1150|791502|S728
1151|791502|S729
1152|791502|S827
1153|791502|S828
1154|791503|S720
1155|791503|S723
1156|791503|S724
1157|791503|S727
1158|791503|S728
1159|791503|S729
1160|791503|S827
1161|791503|S828
1162|791601|S820
1163|791702|S821
1164|791702|S822
1165|791702|S823
1166|791702|S827
1167|791702|S828
1168|791702|S825
1169|791703|S821
1170|791703|S822
1171|791703|S823
1172|791703|S827
1173|791703|S828
1174|791703|S825
1175|791704|S821
1176|791704|S822
1177|791704|S823
1178|791704|S827
1179|791704|S828
1180|791704|S825
1181|791705|S824
1182|791705|S826
1183|791705|S827
1184|791705|S828
1185|791901|S625
1186|791901|S626
1187|791901|S627
1188|791901|S628
1189|791901|S924
1190|791901|S925
1191|791901|S827
1192|791901|S929
1193|792101|S223
1194|792101|S224
1195|792101|S225
1196|792101|S228
1197|792101|S229
1198|792101|S428
1199|792101|S429
1200|792102|S420
1201|792102|S421
1202|792102|S427
1203|792200|S422
1204|792200|S423
1205|792200|S424
1206|792200|S427
1207|792200|S428
1208|792200|S429
1209|792301|S520
1210|792301|S521
1211|792301|S522
1212|792301|S523
1213|792301|S524
1214|792301|S524
1215|792301|S526
1216|792301|S527
1217|792301|S528
1218|792301|S529
1219|792302|S520
1220|792302|S521
1221|792302|S522
1222|792302|S523
1223|792302|S524
1224|792302|S524
1225|792302|S526
1226|792302|S527
1227|792302|S528
1228|792302|S529
1229|792401|S622
1230|792401|S623
1231|792401|S424
1232|792401|S628
1233|792401|S620
1234|792401|S621
1235|792402|S622
1236|792402|S623
1237|792402|S424
1238|792402|S628
1239|792402|S620
1240|792402|S621
1241|792500|S720
1242|792500|S723
1243|792500|S724
1244|792500|S727
1245|792500|S728
1246|792500|S729
1247|792500|S827
1248|792500|S828
1249|792600|S820
1250|792801|S920
1251|792801|S921
1252|792801|S922
1253|792801|S923
1254|792801|S927
1255|792801|S929
1256|792901|S625
1257|792901|S626
1258|792901|S627
1259|792901|S628
1260|792902|S924
1261|792902|S925
1262|792902|S927
1263|792902|S929
1264|793101|S427
1265|793101|S420
1266|793102|S421
1267|793103|S223
1268|793103|S224
1269|793103|S22
1270|793103|S428
1271|793103|S429
1272|793201|S422
1273|793201|S423
1274|793201|S424
1275|793201|S427
1276|793201|S428
1277|793201|S429
1278|793202|S422
1279|793202|S423
1280|793202|S424
1281|793202|S427
1282|793202|S428
1283|793202|S429
1284|793203|S422
1285|793203|S423
1286|793203|S424
1287|793203|S427
1288|793203|S428
1289|793203|S429
1290|793204|S422
1291|793204|S423
1292|793204|S424
1293|793204|S427
1294|793204|S428
1295|793204|S429
1296|793205|S422
1297|793205|S423
1298|793205|S424
1299|793205|S427
1300|793205|S428
1301|793205|S429
1302|793206|S422
1303|793206|S423
1304|793206|S424
1305|793206|S427
1306|793206|S428
1307|793206|S429
1308|793210|S422
