Id|DepartamentoId|CodDepto|CodMunicipio|CodUbicacion|NombreMunicipio|EstadoEntidad|LogBaseEntityId
551|10|23|417|23417|LORICA|1|1
552|8|19|418|19418|LOPEZ|1|1
553|21|68|418|68418|LOS SANTOS|1|1
554|17|52|418|52418|LOS ANDES|1|1
555|18|54|418|54418|LOURDES|1|1
556|22|70|418|70418|LOS PALMITOS|1|1
557|10|23|419|23419|LOS CORDOBAS|1|1
558|14|44|420|44420|LA JAGUA DEL PILAR|1|1
559|2|08|421|08421|LURUACO|1|1
560|1|05|425|05425|MACEO|1|1
561|5|15|425|15425|MACANAL|1|1
562|12|27|425|27425|MEDIO ATRATO|1|1
563|21|68|425|68425|MACARAVITA|1|1
564|11|25|426|25426|MACHETA|1|1
565|17|52|427|52427|MAGUI|1|1
566|22|70|429|70429|MAJAGUAL|1|1
567|11|25|430|25430|MADRID|1|1
568|14|44|430|44430|MAICAO|1|1
569|12|27|430|27430|MEDIO BAUDË|1|1
570|29|91|430|91430|LA VICTORIA|1|1
571|26|85|430|85430|TRINIDAD|1|1
572|4|13|430|13430|MAGANGUE|1|1
573|21|68|432|68432|MALAGA|1|1
574|4|13|433|13433|MAHATES|1|1
575|6|17|433|17433|MANZANARES|1|1
576|2|08|433|08433|MALAMBO|1|1
577|17|52|435|52435|MALLAMA|1|1
578|11|25|436|25436|MANTA|1|1
579|2|08|436|08436|MANATI|1|1
580|11|25|438|25438|MEDINA|1|1
581|4|13|440|13440|MARGARITA|1|1
582|1|05|440|05440|MARINILLA|1|1
583|26|85|440|85440|VILLANUEVA|1|1
584|20|66|440|66440|MARSELLA|1|1
585|5|15|442|15442|MARIPI|1|1
586|6|17|442|17442|MARMATO|1|1
587|4|13|442|13442|MARIA LA BAJA|1|1
588|23|73|443|73443|MARIQUITA|1|1
589|9|20|443|20443|MANAURE BALCON DL CE|1|1
590|6|17|444|17444|MARQUETALIA|1|1
591|21|68|444|68444|MATANZA|1|1
592|6|17|446|17446|MARULANDA|1|1
593|23|73|449|73449|MELGAR|1|1
594|16|50|450|50450|PUERTO CONCORDIA|1|1
595|12|27|450|27450|MEDIO SAN JUAN|1|1
596|8|19|450|19450|MERCADERES|1|1
597|8|19|455|19455|MIRANDA|1|1
598|5|15|455|15455|MIRAFLORES|1|1
599|20|66|456|66456|MISTRATO|1|1
600|4|13|458|13458|MONTECRISTO|1|1
601|29|91|460|91460|MIRITI-PARANA|1|1
602|15|47|460|47460|NUEVA GRANADA|1|1
603|7|18|460|18460|MILAN|1|1
604|23|73|461|73461|MURILLO|1|1
605|21|68|464|68464|MOGOTES|1|1
606|5|15|464|15464|MONGUA|1|1
607|10|23|464|23464|MOMIL|1|1
608|10|23|466|23466|MONTELIBANO|1|1
609|5|15|466|15466|MONGUI|1|1
610|1|05|467|05467|MONTEBELLO|1|1
611|21|68|468|68468|MOLAGAVITA|1|1
612|4|13|468|13468|MOMPOS|1|1
613|5|15|469|15469|MONIQUIRA|1|1
614|19|63|470|63470|MONTENEGRO|1|1
615|8|19|473|19473|MORALES|1|1
616|4|13|473|13473|MORALES|1|1
617|11|25|473|25473|MOSQUERA|1|1
618|17|52|473|52473|MOSQUERA|1|1
619|22|70|473|70473|MORROA|1|1
620|1|05|475|05475|MURINDO|1|1
621|5|15|476|15476|MOTAVITA|1|1
622|7|18|479|18479|MORELIA|1|1
623|5|15|480|15480|MUZO|1|1
624|1|05|480|05480|MUTATA|1|1
625|18|54|480|54480|MUTISCUA|1|1
626|17|52|480|52480|NARIÐO|1|1
627|11|25|483|25483|NARIÐO|1|1
628|23|73|483|73483|NATAGAIMA|1|1
629|1|05|483|05483|NARIÐO|1|1
630|13|41|483|41483|NATAGA|1|1
631|11|25|486|25486|NEMOCON|1|1
632|6|17|486|17486|NEIRA|1|1
633|11|25|488|25488|NILO|1|1
634|11|25|489|25489|NIMAIMA|1|1
635|17|52|490|52490|OLAYA HERRERA|1|1
636|1|05|490|05490|NECOCLI|1|1
637|5|15|491|15491|0BSA|1|1
638|12|27|491|27491|0VITA|1|1
639|11|25|491|25491|0CAIMA|1|1
640|5|15|494|15494|NUEVO COLON|1|1
641|1|05|495|05495|NECHI|1|1
642|12|27|495|27495|NUQUI|1|1
643|6|17|495|17495|0RCASIA|1|1
644|24|76|497|76497|OBANDO|1|1
645|18|54|498|54498|OCAÐA|1|1
646|21|68|498|68498|OCAMONTE|1|1
647|21|68|500|68500|OIBA|1|1
648|5|15|500|15500|OICATA|1|1
649|10|23|500|23500|MOÐITOS|1|1
650|1|05|501|05501|OLAYA|1|1
651|21|68|502|68502|ONZAGA|1|1
652|13|41|503|41503|OPORAPA|1|1
653|23|73|504|73504|ORTEGA|1|1
654|11|25|506|25506|VENECIA|1|1
655|17|52|506|52506|OSPINA|1|1
656|5|15|507|15507|OTANCHE|1|1
657|22|70|508|70508|OVEJAS|1|1
658|32|97|511|97511|PACOA|1|1
659|5|15|511|15511|PACHAVITA|1|1
660|8|19|513|19513|PADILLA|1|1
661|6|17|513|17513|PACORA|1|1
662|11|25|513|25513|PACHO|1|1
663|5|15|514|15514|PAEZ|1|1
664|5|15|516|15516|PAIPA|1|1
665|9|20|517|20517|PAILITAS|1|1
666|8|19|517|19517|PAEZ|1|1
667|13|41|518|41518|PAICOL|1|1
668|5|15|518|15518|PAJARITO|1|1
669|11|25|518|25518|PAIME|1|1
670|18|54|518|54518|PAMPLONA|1|1
671|18|54|520|54520|PAMPLONITA|1|1
672|17|52|520|52520|FRANCISCO PIZARRO|1|1
673|23|73|520|73520|PALOCABILDO|1|1
674|2|08|520|08520|PALMAR DE VARELA|1|1
675|24|76|520|76520|PALMIRA|1|1
676|5|15|522|15522|PANQUEBA|1|1
677|21|68|522|68522|PALMAR|1|1
678|22|70|523|70523|PALMITO|1|1
679|21|68|524|68524|PALMAS DEL SOCORRO|1|1
680|11|25|524|25524|PANDI|1|1
681|33|99|524|99524|LA PRIMAVERA|1|1
682|6|17|524|17524|PALESTINA|1|1
683|13|41|524|41524|PALERMO|1|1
684|13|41|530|41530|PALESTINA|1|1
685|11|25|530|25530|PARATEBUENO|1|1
686|29|91|530|91530|PUERTO ALEGR-A|1|1
687|5|15|531|15531|PAUNA|1|1
688|8|19|532|19532|PATIA(EL BORDO)|1|1
689|8|19|533|19533|PIAMONTE|1|1
690|5|15|533|15533|PAYA|1|1
691|21|68|533|68533|PARAMO|1|1
692|11|25|535|25535|PASCA|1|1
693|29|91|536|91536|PUERTO ARICA|1|1
694|5|15|537|15537|PAZ DE RIO|1|1
695|29|91|540|91540|PUERTO NARIÐO|1|1
696|17|52|540|52540|POLICARPA|1|1
697|15|47|541|47541|PEDRAZA|1|1
698|1|05|541|05541|PEÐOL|1|1
699|6|17|541|17541|PENSILVANIA|1|1
700|5|15|542|15542|PESCA|1|1
701|1|05|543|05543|PEQUE|1|1
702|15|47|545|47545|PIJIÐO DEL CARMEN|1|1
703|23|73|547|73547|PIEDRAS|1|1
704|21|68|547|68547|PIEDECUESTA|1|1
705|8|19|548|19548|PIENDAMO|1|1
706|13|41|548|41548|PITAL|1|1
707|19|63|548|63548|PIJAO|1|1
708|2|08|549|08549|PIOJO|1|1
709|21|68|549|68549|PINCHOTE|1|1
710|4|13|549|13549|PINILLOS|1|1
711|5|15|550|15550|PISBA|1|1
712|9|20|550|20550|PELAYA|1|1
713|13|41|551|41551|PITALITO|1|1
714|15|47|551|47551|PIVIJAY|1|1
715|18|54|553|54553|PUERTO SANTANDER|1|1
716|15|47|555|47555|PLATO|1|1
717|23|73|555|73555|PLANADAS|1|1
718|10|23|555|23555|PLANETA RICA|1|1
719|2|08|558|08558|POLONUEVO|1|1
720|2|08|560|08560|PONEDERA|1|1
721|17|52|560|52560|POTOSI|1|1
722|14|44|560|44560|MANAURE|1|1
723|23|73|563|73563|PRADO|1|1
724|24|76|563|76563|PRADERA|1|1
725|28|88|564|88564|PROVIDENCIA|1|1
726|17|52|565|52565|PROVIDENCIA|1|1
727|16|50|568|50568|PUERTO GAITAN|1|1
728|27|86|568|86568|PUERTO ASIS|1|1
729|27|86|569|86569|PUERTO CAICEDO|1|1
730|10|23|570|23570|PUEBLO NUEVO|1|1
731|9|20|570|20570|PUEBLO BELLO|1|1
732|15|47|570|47570|PUEBLOVIEJO|1|1
733|27|86|571|86571|PUERTO GUZM-N|1|1
734|20|66|572|66572|PUEBLO RICO|1|1
735|5|15|572|15572|PUERTO BOYACA|1|1
736|33|99|572|99572|SANTA RITA|1|1
737|21|68|572|68572|PUENTE NACIONAL|1|1
738|11|25|572|25572|PUERTO SALGAR|1|1
739|21|68|573|68573|PUERTO PARRA|1|1
740|16|50|573|50573|PUERTO LOPEZ|1|1
741|17|52|573|52573|PUERRES|1|1
742|2|08|573|08573|PUERTO COLOMBIA|1|1
743|8|19|573|19573|PUERTO TEJADA|1|1
744|27|86|573|86573|LEGUIZAMO (PUERTO LEGUIZAMO)|1|1
745|10|23|574|23574|PUERTO ESCONDIDO|1|1
746|21|68|575|68575|PUERTO WILCHES|1|1
747|1|05|576|05576|PUEBLORRICO|1|1
748|16|50|577|50577|PUERTO LLERAS|1|1
749|1|05|579|05579|PUERTO BERRIO|1|1
750|10|23|580|23580|PUERTO LIBERTADOR|1|1
751|5|15|580|15580|QUIPAMA|1|1
752|12|27|580|27580|R-O IRO|1|1
753|11|25|580|25580|PULI|1|1
754|4|13|580|13580|REGIDOR|1|1
755|17|52|585|52585|PUPIALES|1|1
756|23|73|585|73585|PURIFICACION|1|1
757|8|19|585|19585|PURACE|1|1
758|1|05|585|05585|PUERTO NARE(LAMAGDALENA|1|1
759|10|23|586|23586|PURISIMA|1|1
760|16|50|590|50590|PUERTO RICO|1|1
761|25|81|591|81591|PUERTO RONDON|1|1
762|1|05|591|05591|PUERTO TRIUNFO|1|1
763|7|18|592|18592|PUERTO RICO|1|1
764|11|25|592|25592|QUEBRADANEGRA|1|1
765|11|25|594|25594|QUETAME|1|1
766|20|66|594|66594|QUINCHIA|1|1
767|19|63|594|63594|QUIMBAYA|1|1
768|11|25|596|25596|QUIPILE|1|1
769|18|54|599|54599|RAGONVALIA|1|1
770|11|25|599|25599|APULO|1|1
771|5|15|599|15599|RAMIRIQUI|1|1
772|5|15|600|15600|RAQUIRA|1|1
773|12|27|600|27600|R-O QUITO|1|1
774|4|13|600|13600|RIO VIEJO|1|1
775|1|05|604|05604|REMEDIOS|1|1
776|15|47|605|47605|REMOLINO|1|1
